text,all_hashtags,lang,hashtag
"And there it is, my wrap up of 2024!
I'm sure I'll be adding to this so will post an update on NYE. 

#playstationwrapup https://t.co/zPoUiSfxSt",['playstationwrapup'],en,#playstationwrapup
#PlayStationWrapUp C'est parti ! 🔥 https://t.co/h7MOM2nu7K,['PlayStationWrapUp'],fr,#playstationwrapup
"I like video games! 
#playstationwrapup https://t.co/3H8HV8EpEu",['playstationwrapup'],en,#playstationwrapup
My #PlaystationWrapUp ❤️🎮 @PlayStationAU https://t.co/9QcuFBPy1L,['PlaystationWrapUp'],und,#playstationwrapup
"Well it’s about damn time!  Great year of gaming &amp; trophy hunting 🎮🏆 even met a few new friends that I’ve enjoyed gaming with 🎉

Gaming &gt; fanboying; no shame in calling ppl out who don’t share their stats, we laugh at you 🫵🏽😂

Looking forward to 2025!
#playstationwrapup #PS5 https://t.co/uaQIBz4MQe","['playstationwrapup', 'PS5']",en,#playstationwrapup
"Une année plutôt productive avec beaucoup de plaisir. Objectif 2025 : finir et platiner tous les Yakuza, et évidemment jouer et terminer toutes les pépites qui arrivent. 😁 #playstationwrapup https://t.co/WDWwTH3asp",['playstationwrapup'],fr,#playstationwrapup
"Don't underestimate Playstation gamers, we play our games

Look at all these lovely stats and thus is from 1 hashtag 

 #playstationwrapup https://t.co/aoQjf2afql",['playstationwrapup'],en,#playstationwrapup
#playstationwrapup #ps4 #ps5 https://t.co/fGLGXzpvYD,"['playstationwrapup', 'ps4', 'ps5']",qme,#playstationwrapup
Einiges zusammengekommen an Trophäen für die Stunden. #playstationwrapup https://t.co/QoVenWzB2t,['playstationwrapup'],de,#playstationwrapup
"Mon résumé de 2024, SandLand je l’ai poncé comme jamais 😂
857 trophées , dont 25 en platine 😳🫣 pas mal du tout 
#PlayStationWrapUp @MumblePs4 https://t.co/4ErrzqjHsg",['PlayStationWrapUp'],fr,#playstationwrapup
Site voltou galera! #PlaystationWrapup https://t.co/qstWvqW3HR,['PlaystationWrapup'],pt,#playstationwrapup
#PlayStationWrapUp 2024 🔥😐 https://t.co/Cg33w3td2U,['PlayStationWrapUp'],und,#playstationwrapup
Menudo año de juegazos increíbles. #playstationwrapup https://t.co/IEvLzM4eJb,['playstationwrapup'],es,#playstationwrapup
"Ahogy mindig, úgy most is brutálisan tévesnek érzem a gaming wrapup ilyen korai közlését, hiszen az ünnepek alatt azért meglehetősen sok játékidőt lehet felhalmozni. De legalább az idei az eddigi legrészletesebb - legszebb lett (amikor épp megy.

#playstationwrapup https://t.co/RAMGq65Vr2",['playstationwrapup'],hu,#playstationwrapup
Oh Putain 3600 heures de Play en 2024 #playstationwrapup https://t.co/5uPPhItKUy,['playstationwrapup'],fr,#playstationwrapup
"to no one's surprise
#PlaystationWrapUp https://t.co/eS2wvnbT4g",['PlaystationWrapUp'],en,#playstationwrapup
I be GAMINGGGG #PlayStationWrapUp2024 #PlayStation #playstationwrapup https://t.co/Ms5BJKtiTn,"['PlayStationWrapUp2024', 'PlayStation', 'playstationwrapup']",en,#playstationwrapup
"It was a very FF7 year for me 🥳🥳🥳
#playstationwrapup #PlayStation https://t.co/YIcYyuLrYM","['playstationwrapup', 'PlayStation']",en,#playstationwrapup
"Zanim wygenerowałem #playstationwrapup wiedziałem, jak to będzie wyglądać! PlayStation 5, zdecydowanie nie było moja główną konsolą w 2024 🙂‍↔️ co nie zmienia faktu że #FF7R to świetna gra! 

Zobaczymy co przyniesie 2025 bo jest kilka tytułów do nadrobienia! 😎 https://t.co/fOy5VGfDB3","['playstationwrapup', 'FF7R']",pl,#playstationwrapup
"QUE ANO!
Nossa Fortnite tá bugado n é possível 
E as 0 platinas continua sempre🤩

#playstationwrapup https://t.co/2bJrCFjlzk",['playstationwrapup'],pt,#playstationwrapup
"今年一番プレイしたゲームはモンハンでした
RDOは惜しくも2位

来年はもっと遊ぶ！

#PlayStationWrapUp https://t.co/aiDYe1YPL5",['PlayStationWrapUp'],ja,#playstationwrapup
Ça m'étonne pas SAUF les 822 heures de jeux 👀 #playstationwrapup https://t.co/srEYnSn8WJ,['playstationwrapup'],fr,#playstationwrapup
"Agora sim tá online novamente! Façam e compartilhem aqui! 

O meu ficou assim! 

#PlayStationWrapUp https://t.co/vMXgPobzAi",['PlayStationWrapUp'],pt,#playstationwrapup
"This looks and feels so satisfying 😍🤩
#PlayStationPortal #PlayStation5 #PlayStation5slim #playstationgamer #PlayStationWrapUp #ps5india 

@Pure_PS 🔥
@geronimo_73_ @VinayakSoni07 @ArjanGill3 @abitbeast1 @BROSTATION_ https://t.co/PRWdMDAVhO","['PlayStationPortal', 'PlayStation5', 'PlayStation5slim', 'playstationgamer', 'PlayStationWrapUp', 'ps5india']",en,#playstationwrapup
L'année fut pas immense niveau quantité de jeux vidéos mais la qualité était là !! #playstationwrapup https://t.co/WcfJPmyKHh,['playstationwrapup'],fr,#playstationwrapup
"Oficjalny #PlayStationWrapUp się zgadza. Grałam w FFXIV trzy miesiące 😮 Reszta to oczywiście gache oraz gra, której platynowanie zajęło mi najdłużej, ale wcale się nie nudziłam 😄 https://t.co/7bJ3EFOEXc",['PlayStationWrapUp'],pl,#playstationwrapup
"Ahora sí, aunque ya intuía los 3 primeros jaja
#playstationwrapup #PlayStation https://t.co/mkzG6NfO4F","['playstationwrapup', 'PlayStation']",es,#playstationwrapup
"En realidad son más horas, de las que aquí se muestran. #PlayStationWrapUp , pero aquí lo tenemos https://t.co/TdYux83rbm",['PlayStationWrapUp'],es,#playstationwrapup
